Model,Model Index,Displacement,Cylinders,Gears,Transmission,MPG,Aspiration,Lockup Torque Converter,Drive,Max Ethanol,Recommended Fuel,Intake Valves Per Cyl,Intake Valves Per Cyl2,Exhaust Valves Per Cyl,Fuel injection
COLORADO 4WD,722,2.8,4,6,Auto(A6),22,Turbocharged,Y,4-Wheel Drive,,"Diesel, ultra low sulfur (15 ppm, maximum",2,2,2,Common Rail Direct Diesel Injection
COLORADO 4WD,781,3.6,6,8,Auto(A8),19,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
COLORADO ZR2 4WD,721,2.8,4,6,Auto(A6),19,Turbocharged,Y,4-Wheel Drive,,"Diesel, ultra low sulfur (15 ppm, maximum",2,2,2,Common Rail Direct Diesel Injection
COLORADO ZR2 4WD,790,3.6,6,8,Auto(A8),17,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
CANYON 4WD,799,2.5,4,6,Auto(A6),21,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
CANYON 4WD,723,2.8,4,6,Auto(A6),22,Turbocharged,Y,4-Wheel Drive,,"Diesel, ultra low sulfur (15 ppm, maximum",2,2,2,Common Rail Direct Diesel Injection
CANYON 4WD,782,3.6,6,8,Auto(A8),19,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
TACOMA 4WD,35,2.7,4,6,Auto(S6),20,Naturally Aspirated,Y,Part-time 4-Wheel Drive,15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
TACOMA 4WD,31,3.5,6,6,Auto(S6),20,Naturally Aspirated,Y,Part-time 4-Wheel Drive,15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
TACOMA 4WD,32,3.5,6,6,Manual(M6),18,Naturally Aspirated,N,Part-time 4-Wheel Drive,15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
TACOMA 4WD D-CAB MT TRD-ORP/PRO,94,3.5,6,6,Manual(M6),18,Naturally Aspirated,N,Part-time 4-Wheel Drive,15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
SILVERADO 2WD,805,2.7,4,8,Auto(A8),21,Turbocharged,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
SILVERADO 2WD,592,2.7,4,8,Auto(A8),20,Turbocharged,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
SILVERADO 2WD,649,3,6,10,Auto(A10),27,Turbocharged,Y,"2-Wheel Drive, Rear",,"Diesel, ultra low sulfur (15 ppm, maximum",2,2,2,Common Rail Direct Diesel Injection
SILVERADO 2WD,529,4.3,6,6,Auto(A6),17,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SILVERADO 2WD,688,5.3,8,6,Auto(A6),16,Naturally Aspirated,Y,"2-Wheel Drive, Rear",85,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SILVERADO 2WD,680,5.3,8,6,Auto(A6),17,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SILVERADO 2WD,820,5.3,8,8,Auto(A8),20,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SILVERADO 2WD,548,5.3,8,8,Auto(A8),19,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
F150 2WD BASE PAYLOAD LT TIRE,153,3,6,10,Auto(S10),24,Turbocharged,Y,"2-Wheel Drive, Rear",,"Diesel, low sulfur (500 ppm",2,2,2,Common Rail Direct Diesel Injection
F150 2WD FFV BASE PAYLOAD LT,79,5,8,10,Auto(S10),18,Naturally Aspirated,Y,"2-Wheel Drive, Rear",85,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
F150 5.0L 2WD FFV GVWR>7599 LBS,80,5,8,10,Auto(S10),17,Naturally Aspirated,Y,"2-Wheel Drive, Rear",85,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
F150 PICKUP 2WD,169,2.7,6,10,Auto(S10),22,Turbocharged,Y,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
F150 PICKUP 2WD,152,3,6,10,Auto(S10),24,Turbocharged,Y,"2-Wheel Drive, Rear",,"Diesel, low sulfur (500 ppm",2,2,2,Common Rail Direct Diesel Injection
F150 PICKUP 2WD,159,3.5,6,10,Auto(S10),19,Turbocharged,Y,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
F150 PICKUP 2WD FFV,73,3.3,6,6,Auto(S6),22,Naturally Aspirated,Y,"2-Wheel Drive, Rear",85,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
F150 PICKUP 2WD FFV,78,5,8,10,Auto(S10),19,Naturally Aspirated,Y,"2-Wheel Drive, Rear",85,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
F150 PICKUP 2WD LIMITED,165,3.5,6,10,Auto(S10),19,Turbocharged,Y,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
RANGER 2WD,271,2.3,4,10,Auto(S10),23,Turbocharged,Y,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
SIERRA 2WD,806,2.7,4,8,Auto(A8),21,Turbocharged,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
SIERRA 2WD,593,2.7,4,8,Auto(A8),20,Turbocharged,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
SIERRA 2WD,650,3,6,10,Auto(A10),26,Turbocharged,Y,"2-Wheel Drive, Rear",,"Diesel, ultra low sulfur (15 ppm, maximum",2,2,2,Common Rail Direct Diesel Injection
SIERRA 2WD,531,4.3,6,6,Auto(A6),17,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SIERRA 2WD,691,5.3,8,6,Auto(A6),16,Naturally Aspirated,Y,"2-Wheel Drive, Rear",85,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SIERRA 2WD,684,5.3,8,6,Auto(A6),17,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SIERRA 2WD,821,5.3,8,8,Auto(A8),20,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SIERRA 2WD,549,5.3,8,8,Auto(A8),19,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
FRONTIER 2WD,881,3.8,6,9,Auto(S9),20,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
TITAN 2WD,385,5.6,8,9,Auto(S9),18,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
1500 4X2,503,3,6,8,Auto(A8),26,Turbocharged,Y,"2-Wheel Drive, Rear",,"Diesel, ultra low sulfur (15 ppm, maximum",2,2,2,Common Rail Direct Diesel Injection
1500 4X2,504,3.6,6,8,Auto(A8),22,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
1500 4X2,505,5.7,8,8,Auto(A8),19,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Mid Grade Unleaded Recommended,1,1,1,Multipoint/sequential fuel injection
1500 4X2,506,5.7,8,8,Auto(A8),17,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Mid Grade Unleaded Recommended,1,1,1,Multipoint/sequential fuel injection
1500 Classic 4X2,553,3.6,6,8,Auto(A8),20,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
1500 Classic 4X2,554,5.7,8,8,Auto(A8),17,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Mid Grade Unleaded Recommended,1,1,1,Multipoint/sequential fuel injection
1500 HFE 4X2,526,3.6,6,8,Auto(A8),23,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
F150 Pickup 2WD,7,5,8,10,Auto(S10),13,Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Multipoint/sequential fuel injection
TUNDRA 2WD,58,5.7,8,6,Auto(S6),15,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
SILVERADO 4WD,807,2.7,4,8,Auto(A8),20,Turbocharged,Y,4-Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
SILVERADO 4WD,594,2.7,4,8,Auto(A8),20,Turbocharged,Y,4-Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
SILVERADO 4WD,728,3,6,10,Auto(A10),25,Turbocharged,Y,4-Wheel Drive,,"Diesel, ultra low sulfur (15 ppm, maximum",2,2,2,Common Rail Direct Diesel Injection
SILVERADO 4WD,809,4.3,6,6,Auto(A6),17,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SILVERADO 4WD,554,5.3,8,10,Auto(A10),19,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SILVERADO 4WD,694,5.3,8,6,Auto(A6),16,Naturally Aspirated,Y,4-Wheel Drive,85,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SILVERADO 4WD,670,5.3,8,6,Auto(A6),17,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SILVERADO 4WD,550,5.3,8,8,Auto(A8),18,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SILVERADO 4WD,632,6.2,8,10,Auto(A10),17,Naturally Aspirated,Y,4-Wheel Drive,10,Premium Unleaded Required,1,1,1,Spark Ignition Direct Injection
SILVERADO 4WD TRAILBOSS,811,4.3,6,6,Auto(A6),16,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SILVERADO 4WD TRAILBOSS,555,5.3,8,10,Auto(A10),18,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SILVERADO 4WD TRAILBOSS,672,5.3,8,6,Auto(A6),16,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SILVERADO 4WD TRAILBOSS,551,5.3,8,8,Auto(A8),18,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SILVERADO 4WD TRAILBOSS,824,6.2,8,10,Auto(A10),17,Naturally Aspirated,Y,4-Wheel Drive,10,Premium Unleaded Required,1,1,1,Spark Ignition Direct Injection
SILVERADO 4WD TRAILBOSS,825,6.2,8,10,Auto(A10),15,Naturally Aspirated,Y,4-Wheel Drive,10,Premium Unleaded Required,1,1,1,Spark Ignition Direct Injection
F150 PICKUP 4WD,166,2.7,6,10,Auto(S10),20,Turbocharged,Y,Part-time 4-Wheel Drive,15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
F150 PICKUP 4WD,150,3,6,10,Auto(S10),22,Turbocharged,Y,Part-time 4-Wheel Drive,,"Diesel, low sulfur (500 ppm",2,2,2,Common Rail Direct Diesel Injection
F150 PICKUP 4WD,156,3.5,6,10,Auto(S10),18,Turbocharged,Y,Part-time 4-Wheel Drive,15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
F150 PICKUP 4WD FFV,71,3.3,6,6,Auto(S6),20,Naturally Aspirated,Y,Part-time 4-Wheel Drive,85,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
F150 PICKUP 4WD FFV,75,5,8,10,Auto(S10),18,Naturally Aspirated,Y,Part-time 4-Wheel Drive,85,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
F150 PICKUP 4WD LIMITED,163,3.5,6,10,Auto(S10),19,Turbocharged,Y,Part-time 4-Wheel Drive,15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
F150 PICKUP 4WD XL/XLT,149,3,6,10,Auto(S10),24,Turbocharged,Y,Part-time 4-Wheel Drive,,"Diesel, low sulfur (500 ppm",2,2,2,Common Rail Direct Diesel Injection
F150 RAPTOR 4WD,164,3.5,6,10,Auto(S10),16,Turbocharged,Y,Part-time 4-Wheel Drive,15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
RANGER 4WD,270,2.3,4,10,Auto(S10),22,Turbocharged,Y,Part-time 4-Wheel Drive,15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
SIERRA 4WD,808,2.7,4,8,Auto(A8),20,Turbocharged,Y,4-Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
SIERRA 4WD,595,2.7,4,8,Auto(A8),20,Turbocharged,Y,4-Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
SIERRA 4WD,732,3,6,10,Auto(A10),24,Turbocharged,Y,4-Wheel Drive,,"Diesel, ultra low sulfur (15 ppm, maximum",2,2,2,Common Rail Direct Diesel Injection
SIERRA 4WD,812,4.3,6,6,Auto(A6),17,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SIERRA 4WD,556,5.3,8,10,Auto(A10),19,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SIERRA 4WD,697,5.3,8,6,Auto(A6),16,Naturally Aspirated,Y,4-Wheel Drive,85,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SIERRA 4WD,675,5.3,8,6,Auto(A6),17,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SIERRA 4WD,552,5.3,8,8,Auto(A8),18,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SIERRA 4WD,633,6.2,8,10,Auto(A10),17,Naturally Aspirated,Y,4-Wheel Drive,10,Premium Unleaded Required,1,1,1,Spark Ignition Direct Injection
SIERRA 4WD AT4,733,3,6,10,Auto(A10),24,Turbocharged,Y,4-Wheel Drive,,"Diesel, ultra low sulfur (15 ppm, maximum",2,2,2,Common Rail Direct Diesel Injection
SIERRA 4WD AT4,557,5.3,8,10,Auto(A10),18,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SIERRA 4WD AT4,677,5.3,8,6,Auto(A6),16,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SIERRA 4WD AT4,553,5.3,8,8,Auto(A8),18,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SIERRA 4WD AT4,634,6.2,8,10,Auto(A10),17,Naturally Aspirated,Y,4-Wheel Drive,10,Premium Unleaded Required,1,1,1,Spark Ignition Direct Injection
RIDGELINE AWD,58,3.5,6,9,Auto(S9),21,Naturally Aspirated,Y,All Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Gladiator Pickup 4x4,500,3.6,6,8,Auto(A8),19,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Gladiator Pickup 4x4,502,3.6,6,6,Manual(M6),19,Naturally Aspirated,N,4-Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
FRONTIER 4WD,882,3.8,6,9,Auto(S9),19,Naturally Aspirated,Y,Part-time 4-Wheel Drive,15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
TITAN 4WD,386,5.6,8,9,Auto(S9),18,Naturally Aspirated,Y,Part-time 4-Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
TITAN 4WD PRO-4X,387,5.6,8,9,Auto(S9),17,Naturally Aspirated,Y,Part-time 4-Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
1500 4X4,507,3,6,8,Auto(A8),24,Turbocharged,Y,4-Wheel Drive,,"Diesel, ultra low sulfur (15 ppm, maximum",2,2,2,Common Rail Direct Diesel Injection
1500 4X4,508,3.6,6,8,Auto(A8),21,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
1500 4X4,509,5.7,8,8,Auto(A8),19,Naturally Aspirated,Y,4-Wheel Drive,10,Mid Grade Unleaded Recommended,1,1,1,Multipoint/sequential fuel injection
1500 4X4,510,5.7,8,8,Auto(A8),17,Naturally Aspirated,Y,4-Wheel Drive,10,Mid Grade Unleaded Recommended,1,1,1,Multipoint/sequential fuel injection
1500 Classic 4X4,555,3.6,6,8,Auto(A8),19,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
1500 Classic 4X4,556,5.7,8,8,Auto(A8),17,Naturally Aspirated,Y,4-Wheel Drive,10,Mid Grade Unleaded Recommended,1,1,1,Multipoint/sequential fuel injection
F150 Pickup 4WD,6,5,8,10,Auto(S10),13,Supercharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Multipoint/sequential fuel injection
TUNDRA 4WD,59,5.7,8,6,Auto(S6),14,Naturally Aspirated,Y,Part-time 4-Wheel Drive,15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
TRANSIT T150 WAGON 2WD FFV,461,3.5,6,10,Auto(S10),17,Naturally Aspirated,Y,"2-Wheel Drive, Rear",85,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
TRANSIT T150 WAGON 4WD FFV,471,3.5,6,10,Auto(S10),16,Naturally Aspirated,Y,All Wheel Drive,85,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
RANGER 2WD INCOMPLETE,272,2.3,4,10,Auto(S10),18,Turbocharged,Y,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
TRANSIT CONNECT USPS,129,2.5,4,6,Auto(S6),22,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Transit Connect Van 2WD,123,2,4,8,Auto(S8),25,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Transit Connect Van 2WD,127,2.5,4,6,Auto(S6),22,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
TRANSIT CONNECT VAN FFV,124,2,4,8,Auto(S8),25,Naturally Aspirated,Y,"2-Wheel Drive, Front",85,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
TRANSIT CONNECT WAGON LWB FFV,126,2,4,8,Auto(S8),26,Naturally Aspirated,Y,"2-Wheel Drive, Front",85,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Transit Connect Wagon LWB FWD,125,2,4,8,Auto(S8),26,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Transit Connect Wagon LWB FWD,128,2.5,4,6,Auto(S6),22,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
GLB 250,750,2,4,8,Auto(AM8),26,Turbocharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
Metris (Cargo Van),411,2,4,7,Auto(A7),22,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
Metris (Cargo Van),41,2,4,7,Auto(A7),22,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
"Metris (Cargo Van, LWB)",42,2,4,7,Auto(A7),22,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
"Metris (Cargo Van, LWB)",412,2,4,7,Auto(A7),22,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
Metris (Passenger Van),40,2,4,7,Auto(A7),21,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
Metris (Passenger Van),410,2,4,7,Auto(A7),21,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
NV200 Cargo Van,681,2,4,1,Auto(AV),25,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Promaster City,406,2.4,4,9,Auto(A9),24,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
SILVERADO 2WD CAB CHASSIS,530,4.3,6,6,Auto(A6),17,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SILVERADO 2WD CAB CHASSIS,681,5.3,8,6,Auto(A6),15,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SILVERADO 4WD CAB CHASSIS,810,4.3,6,6,Auto(A6),15,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SILVERADO 4WD CAB CHASSIS,671,5.3,8,6,Auto(A6),15,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SIERRA 2WD CAB CHASSIS,532,4.3,6,6,Auto(A6),17,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SIERRA 2WD CAB CHASSIS,685,5.3,8,6,Auto(A6),15,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SIERRA 4WD CAB CHASSIS,533,4.3,6,6,Auto(A6),15,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
SIERRA 4WD CAB CHASSIS,676,5.3,8,6,Auto(A6),15,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,1,1,1,Spark Ignition Direct Injection
Pacifica,543,3.6,6,9,Auto(A9),22,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Voyager,547,3.6,6,9,Auto(A9),22,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Grand Caravan,552,3.6,6,6,Auto(A6),20,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
ODYSSEY FWD,26,3.5,6,10,Auto(S10),22,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Sedona,13,3.3,6,8,Auto(S8),21,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
SIENNA,37,3.5,6,8,Auto(S8),21,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
SIENNA AWD,38,3.5,6,8,Auto(S8),20,Naturally Aspirated,Y,All Wheel Drive,15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
MDX FWD,22,3.5,6,9,Auto(S9),23,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
RDX FWD,8,2,4,10,Auto(S10),24,Turbocharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
RDX FWD A-SPEC,10,2,4,10,Auto(S10),24,Turbocharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Stelvio,409,2,4,8,Auto(A8),25,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
X3 sDrive30i,371,2,4,8,Auto(S8),27,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
ENCORE FWD,88,1.4,4,6,Auto(S6),27,Turbocharged,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
ENCORE GX FWD,139,1.2,3,1,Auto(AV),28,Turbocharged,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
ENCORE GX FWD,129,1.3,3,1,Auto(AV),31,Turbocharged,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
ENVISION FWD,27,2.5,4,6,Auto(A6),25,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
XT4 FWD,70,2,4,9,Auto(S9),26,Turbocharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
XT5 FWD,660,2,4,9,Auto(S9),24,Turbocharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
XT5 FWD,803,3.6,6,9,Auto(S9),21,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
XT6 FWD,510,3.6,6,9,Auto(S9),20,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
BLAZER FWD,663,2,4,9,Auto(A9),24,Turbocharged,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
BLAZER FWD,565,2.5,4,9,Auto(A9),23,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
BLAZER FWD,816,3.6,6,9,Auto(A9),21,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
