Name,Club,Age,League,Height,Body Type,Market Value (EUR),FIFA Strength Score,Game effort
Iborra,Leicester City,29,English Premier League,190,Normal,17000000,82,Medium
V. Wanyama,Tottenham Hotspur,26,English Premier League,184,Stocky,23000000,82,Medium
L. Stindl,Borussia Mönchengladbach,28,German Bundesliga,181,Normal,23000000,82,Medium
A. Ramsey,Arsenal,26,English Premier League,183,Lean,25500000,82,High
G. Sigurðsson,Everton,27,English Premier League,186,Normal,23000000,82,High
M. Arnautovic,West Ham United,28,English Premier League,192,Normal,22500000,82,Medium
J. Henderson,Liverpool,27,English Premier League,182,Normal,21500000,82,High
M. Kruse,SV Werder Bremen,29,German Bundesliga,180,Normal,22000000,82,Medium
O. Karnezis,Watford,31,English Premier League,190,Normal,13500000,82,Medium
G. Wijnaldum,Liverpool,26,English Premier League,175,Lean,27000000,82,High
O. Giroud,Arsenal,30,English Premier League,192,Normal,21500000,82,Medium
J. Hernández,West Ham United,29,English Premier League,175,Normal,22000000,82,Medium
Beñat,Athletic Club de Bilbao,30,Spanish Primera Division,177,Normal,20500000,82,Medium
L. Bender,Bayer 04 Leverkusen,28,German Bundesliga,185,Lean,20000000,82,High
K. Gameiro,Atlético Madrid,30,Spanish Primera Division,173,Normal,21500000,82,Medium
C. Bravo,Manchester City,34,English Premier League,184,Normal,9000000,82,Medium
A. Begovic,Bournemouth,30,English Premier League,199,Lean,14000000,82,Medium
Naldo,FC Schalke 04,34,German Bundesliga,198,Lean,6500000,82,High
D. Sturridge,Liverpool,27,English Premier League,180,Normal,23500000,82,Medium
D. Rose,Tottenham Hotspur,26,English Premier League,174,Normal,21000000,82,Medium
C. Vela,Real Sociedad,28,Spanish Primera Division,177,Normal,22500000,82,High
G. Castro,Borussia Dortmund,30,German Bundesliga,172,Normal,20500000,82,Medium
A. Williams,Everton,32,English Premier League,183,Normal,12500000,82,Medium
L. Baines,Everton,32,English Premier League,170,Normal,12500000,82,High
J. Hart,West Ham United,30,English Premier League,196,Normal,14000000,82,Medium
M. Gómez,VfL Wolfsburg,31,German Bundesliga,189,Normal,20000000,82,High
Juanfran,Atlético Madrid,32,Spanish Primera Division,180,Lean,12500000,82,High
Raffael,Borussia Mönchengladbach,32,German Bundesliga,174,Lean,17500000,82,High
A. Turan,FC Barcelona,30,Spanish Primera Division,175,Normal,20500000,82,High
Fernandinho,Manchester City,32,English Premier League,179,Lean,12500000,82,Medium
R. Jarstein,Hertha BSC Berlin,32,German Bundesliga,190,Normal,12500000,82,Medium
M. Rashford,Manchester United,19,English Premier League,185,Normal,26500000,81,High
Gabriel Jesus,Manchester City,20,English Premier League,175,Normal,31000000,81,High
Nélson Semedo,FC Barcelona,23,Spanish Primera Division,177,Lean,20500000,81,High
J. Weigl,Borussia Dortmund,21,German Bundesliga,186,Lean,21000000,81,Medium
D. Sánchez,Tottenham Hotspur,21,English Premier League,187,Normal,21500000,81,Medium
I. Slimani,Leicester City,29,English Premier League,188,Lean,18000000,81,High
A. Kramaric,TSG 1899 Hoffenheim,26,German Bundesliga,177,Normal,22000000,81,Medium
Williams,Athletic Club de Bilbao,23,Spanish Primera Division,186,Lean,24500000,81,High
Dani García,SD Eibar,27,Spanish Primera Division,180,Normal,17000000,81,Medium
A. Christensen,Chelsea,21,English Premier League,188,Lean,24000000,81,Low
J. Kimmich,FC Bayern Munich,22,German Bundesliga,176,Lean,20500000,81,High
Bruma,RB Leipzig,22,German Bundesliga,173,Lean,24000000,81,High
R. Guerreiro,Borussia Dortmund,23,German Bundesliga,170,Normal,24000000,81,Medium
J. Vardy,Leicester City,30,English Premier League,179,Lean,17000000,81,High
M. Keane,Everton,24,English Premier League,191,Normal,21000000,81,Medium
Héctor Bellerín,Arsenal,22,English Premier League,178,Normal,21000000,81,High
J. Butland,Stoke City,24,English Premier League,196,Normal,18000000,81,Medium
S. Zaza,Valencia CF,26,Spanish Primera Division,186,Normal,21000000,81,High
Rafinha,FC Barcelona,24,Spanish Primera Division,174,Normal,23500000,81,Medium
Nacho Fernández,Real Madrid CF,27,Spanish Primera Division,179,Normal,17500000,81,Medium
J. Cillessen,FC Barcelona,28,Spanish Primera Division,185,Normal,15000000,81,Medium
Sergi Roberto,FC Barcelona,25,Spanish Primera Division,178,Normal,19500000,81,Medium
W. Ben Yedder,Sevilla FC,26,Spanish Primera Division,170,Normal,21000000,81,High
Lucas Pérez,RC Deportivo de La Coruña,28,Spanish Primera Division,180,Normal,18500000,81,High
R. Barkley,Everton,23,English Premier League,189,Normal,23000000,81,Medium
